"Entry Title","Entry ID","MMGBSA dG Bind"
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1899",306,-39.236549
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1900",307,-39.357111
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1901",308,-38.048699
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1902",309,-42.734874
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1903",310,-42.817209
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1904",311,-37.947839
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1905",312,-43.019871
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1906",313,-39.459813
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1907",314,-37.476694
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1908",315,-39.278590
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1909",316,-38.057304
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1910",317,-39.175343
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1911",318,-39.408365
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1912",319,-39.293410
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1913",320,-36.534569
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1914",321,-39.230136
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1915",322,-43.017811
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1916",323,-39.478367
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1917",324,-38.907177
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1918",325,-36.866419
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1919",326,-41.567155
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1920",327,-57.344501
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1921",328,-42.978155
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1922",329,-38.863333
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1923",330,-37.995732
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1924",331,-37.892009
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1925",332,-38.020726
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1926",333,-37.806876
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1927",334,-37.914810
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1928",335,-37.526116
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1929",336,-39.468659
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1930",337,-38.076368
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1931",338,-37.958139
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1932",339,-38.916657
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1933",340,-44.149190
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1934",341,-43.135995
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1935",342,-39.392799
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1936",343,-42.793255
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1937",344,-34.215232
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1938",345,-37.468032
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1939",346,-38.046558
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1940",347,-39.367095
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1941",348,-39.200721
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1942",349,-44.076501
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1943",350,-38.067731
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1944",351,-39.122426
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1945",352,-38.040383
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1946",353,-35.384997
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1947",354,-39.423360
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1948",355,-37.580044
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1949",356,-38.168090
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1950",357,-37.778534
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1951",358,-37.847616
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1952",359,-39.055444
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1953",360,-37.397063
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1954",361,-38.250013
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1955",362,-42.937715
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1956",363,-42.314277
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1957",364,-38.959708
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1958",365,-39.388849
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1959",366,-39.281012
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1960",367,-37.730106
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1961",368,-42.705521
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1962",369,-39.321767
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1963",370,-39.344823
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1964",371,-38.770633
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1965",372,-37.499715
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1966",373,-38.209988
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1967",374,-37.993417
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1968",375,-37.544735
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1969",376,-38.161191
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1970",377,-42.789325
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1971",378,-39.390171
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1972",379,-39.222501
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1973",380,-39.093461
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1974",381,-37.992533
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1975",382,-37.771735
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1976",383,-39.227729
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1977",384,-37.790529
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1978",385,-39.391335
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1979",386,-37.992485
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1980",387,-37.586616
