"Entry Title","Entry ID","MMGBSA dG Bind"
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1868",70,-78.381835
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1869",71,-78.708191
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1870",72,-78.525860
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1871",73,-79.760614
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1872",74,-78.528801
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1873",75,-78.467371
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1874",76,-78.414262
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1875",77,-78.543808
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1876",78,-78.664875
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1877",79,-78.553088
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1878",80,-78.721570
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1879",81,-78.472316
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1880",82,-78.384850
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1881",83,-78.492743
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1882",84,-80.121097
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1883",85,-78.646281
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1884",86,-80.153966
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1885",87,-78.658648
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1886",88,-78.572505
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1887",89,-82.396910
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1888",90,-80.046930
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1889",91,-78.738264
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1890",92,-79.316689
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1891",93,-78.939236
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1892",94,-78.731644
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1893",95,-80.286072
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1894",96,-78.540266
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1895",97,-83.200877
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1896",98,-80.080845
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1897",99,-75.472608
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1898",100,-82.205489
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1899",101,-78.494300
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1900",102,-80.190958
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1901",103,-82.078476
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1902",104,-80.673325
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1903",105,-84.585893
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1904",106,-80.581976
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1905",107,-81.954124
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1906",108,-80.461406
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1907",109,-80.309945
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1908",110,-78.704535
