"frame","MMGBSA dG Bind","MMGBSA dG Bind Coulomb","MMGBSA dG Bind Covalent","MMGBSA dG Bind Hbond","MMGBSA dG Bind Lipo","MMGBSA dG Bind Packing","MMGBSA dG Bind SelfCont","MMGBSA dG Bind Solv GB","MMGBSA dG Bind vdW"
1801,-12.85,114.09,-18.60,3.03,-1.33,-1.05,-1.74,-95.45,-11.81
1801,-24.05,62.54,32.57,-5.31,-10.74,-3.48,0.35,-56.09,-43.89
1801,18.09,135.53,1.87,3.04,-5.64,-2.04,0.28,-69.91,-45.04
1801,-10.91,74.89,-7.38,0.12,-5.82,-0.63,-0.78,-51.60,-19.70
1801,-16.46,82.86,-16.57,1.66,0.01,-3.25,0.53,-50.26,-31.42
1801,-8.91,78.70,5.70,-2.77,-7.27,-1.14,0.04,-47.04,-35.12
1801,-17.21,58.94,9.82,-2.34,-7.98,-0.87,-0.27,-37.82,-36.69
1801,-26.52,38.26,11.56,-4.06,-6.30,-0.02,0.96,-37.30,-29.61
1801,8.29,91.62,-2.66,3.22,-5.06,0.14,0.65,-64.53,-15.09
1801,14.78,111.12,-1.54,2.67,-2.74,-1.51,0.14,-66.39,-26.97
1801,-6.75,87.68,14.61,-1.78,-6.51,0.17,2.82,-69.78,-33.96
1801,-38.29,16.06,4.89,-5.03,-7.54,-1.85,0.37,-9.46,-35.74
1801,-22.92,40.13,5.48,-4.58,-2.05,-0.87,0.44,-20.78,-40.69
1801,-14.10,72.38,-8.44,-0.90,-1.06,-2.14,-0.30,-55.21,-18.43
1801,-8.35,64.64,7.36,-4.58,-7.11,-2.31,4.65,-37.65,-33.36
1801,-32.00,82.86,0.47,-2.42,-6.92,-1.24,-0.07,-78.06,-26.61
1801,-31.46,57.20,15.44,-4.43,-10.59,0.09,0.99,-46.40,-43.77
1801,-17.11,25.38,21.12,-7.57,-0.23,-3.03,0.07,-24.24,-28.61
