Frame,Time (ns),Radius of Gyration 3 (5760 atoms)
140,13.9003,24.12270037166881
141,14.0003,24.30582819374507
142,14.1003,24.591144848643186
143,14.2003,24.350985956683566
144,14.3003,24.41743214456535
145,14.4003,24.506253475468373
146,14.5003,24.603993635271113
147,14.6003,24.427658524031855
148,14.7003,24.402100228709667
149,14.8003,24.400853227910602
150,14.9003,24.49857389413228
151,15.0003,24.77940260402807
152,15.1003,24.392060498650842
153,15.2003,24.62825487608646
154,15.3003,24.846316807896173
155,15.4003,24.447221949138086
156,15.5003,24.471191055105766
157,15.6003,24.348232667059694
158,15.7003,24.284100622984443
159,15.8003,24.383964497192864
160,15.9003,24.378323816640737
161,16.0003,24.424707474285512
162,16.1003,24.495783292696956
163,16.2003,24.506487642222346
164,16.3003,24.231265819194732
165,16.4003,24.480186257814413
166,16.5003,24.395292916574366
167,16.6003,24.273739924025584
168,16.7003,24.19492505725344
169,16.8003,24.118460126767143
170,16.9003,24.25691317275589
171,17.0003,24.077444123619248
172,17.1003,24.001164312573863
173,17.2003,24.191617107198116
174,17.3003,24.077495374111002
175,17.4003,24.108178472526244
176,17.5004,24.204345483878196
177,17.6004,23.986452585130326
178,17.7004,23.75276519706708
179,17.8004,23.80305479233082
180,17.9004,23.882840057339457
181,18.0004,23.919614365713986
182,18.1004,23.9177758391491
183,18.2004,23.999281688747935
184,18.3004,23.939850806455663
185,18.4004,24.11153943414031
186,18.5004,23.90931252572257
187,18.6004,23.882660867672246
188,18.7004,23.928030870016165
189,18.8004,23.928218677755684
190,18.9004,23.84709968335704
191,19.0004,23.94792561229777
192,19.1004,23.971357193390407
193,19.2004,23.944307053262648
194,19.3004,23.99846551133313
195,19.4004,24.227784554062954
196,19.5004,24.327970986675655
197,19.6004,24.35149972569081
198,19.7004,24.239034211626606
199,19.8004,24.194394726140736
200,19.9004,24.102609000819193
201,20.0004,24.500299414230398
202,20.1004,24.416012559351167
203,20.2004,24.496398625387492
204,20.3004,24.451193362690383
205,20.4004,24.350799593216973
206,20.5004,24.230236199263512
207,20.6004,24.4010064555362
208,20.7004,24.465898399638036
209,20.8004,24.326998127298317
210,20.9004,24.336150554608814
211,21.0004,24.458398136736957
212,21.1004,24.31270382905892
213,21.2004,24.50109553201614
