"frame","MMGBSA dG Bind","MMGBSA dG Bind Coulomb","MMGBSA dG Bind Covalent","MMGBSA dG Bind Hbond","MMGBSA dG Bind Lipo","MMGBSA dG Bind Packing","MMGBSA dG Bind SelfCont","MMGBSA dG Bind Solv GB","MMGBSA dG Bind vdW"
3912,-20.40,15.63,7.68,-0.39,-8.49,-2.02,0.00,4.15,-36.97
3913,-35.30,11.45,0.99,-2.50,-7.86,-0.88,0.00,-6.56,-29.93
3914,-41.81,19.74,5.11,0.61,-11.01,-4.93,0.00,-18.06,-33.27
3915,-41.79,-7.09,3.07,-2.75,-14.53,-0.90,0.00,17.51,-37.09
3916,-18.28,59.37,5.67,-0.48,-3.93,-2.58,0.00,-38.73,-37.61
3917,-20.65,36.03,3.41,-2.35,-0.94,-0.41,0.00,-33.24,-23.14
3918,-13.49,23.20,-3.98,-1.13,-0.91,-1.43,0.00,-8.42,-20.82
3919,-16.73,44.64,8.35,-1.72,-4.25,-0.52,0.00,-26.25,-36.97
3920,-24.23,23.93,3.21,-1.05,-1.77,-1.72,0.00,-23.99,-22.84
3921,-26.63,37.01,4.33,-1.11,-3.33,-1.75,0.00,-33.54,-28.25
3922,-18.16,38.09,2.05,-0.69,-1.46,-2.57,0.00,-22.17,-31.41
3923,-19.28,27.77,1.04,-2.68,-3.26,-1.22,0.00,-12.89,-28.04
3924,-23.99,35.39,1.03,-1.65,-0.83,-2.07,0.00,-23.76,-32.09
3925,-21.40,22.81,4.11,-1.65,-2.14,-0.19,0.00,-22.82,-21.53
3926,-39.91,-20.03,10.48,-6.34,-10.44,-0.98,0.00,19.67,-32.26
3927,-55.26,-26.27,12.25,-4.57,-13.16,-2.36,0.00,13.61,-34.77
3928,-24.32,12.40,-0.19,-2.69,-3.96,-0.51,0.00,-8.28,-21.10
3929,-25.82,14.69,5.82,-0.52,-10.42,-1.21,0.00,6.23,-40.42
3930,-24.49,-16.04,8.27,-4.72,-3.97,-2.83,0.00,28.58,-33.79
3931,-26.23,-2.48,8.19,-1.34,-9.23,-1.20,0.00,9.79,-29.95
3932,-46.30,40.28,4.37,-1.05,-17.36,-2.94,0.00,-20.26,-49.34
3933,-14.24,67.76,1.57,0.51,-3.86,-0.02,0.00,-51.00,-29.20
3934,-17.57,33.88,4.59,-1.12,-3.06,-0.20,0.00,-17.77,-33.87
3935,-31.74,37.84,5.68,-1.07,-4.99,-1.83,0.00,-35.22,-32.14
3936,-11.11,27.79,5.80,-3.19,-1.57,-0.86,0.00,-20.96,-18.12
3937,-35.00,-0.80,4.17,-1.61,-7.62,-1.92,0.00,9.75,-36.97
3938,-18.40,32.01,1.71,0.81,-4.08,-2.37,0.00,-25.86,-20.62
3939,-21.77,37.35,5.09,-3.60,-3.82,-2.29,0.00,-34.52,-19.98
3940,-47.76,-27.08,4.99,-5.84,-7.60,-2.54,0.00,27.60,-37.29
3941,-23.27,9.09,1.57,-2.92,-3.74,-1.46,0.00,-5.16,-20.64
3942,-5.77,4.93,1.24,-2.44,-0.33,-0.00,0.00,-3.53,-5.65
3943,-24.28,12.97,7.27,-3.45,-4.32,-1.92,0.00,-7.19,-27.64
3944,-7.46,49.35,1.18,-3.39,-1.44,-1.44,0.00,-37.11,-14.61
3945,-24.68,22.02,-2.44,-1.94,-3.88,-3.31,0.00,-4.69,-30.43
3946,-22.82,22.28,-1.73,-0.57,-4.98,-0.06,0.00,-7.82,-29.95
3947,-21.58,20.73,4.48,-3.40,-6.72,-1.68,0.00,-1.25,-33.75
3948,-6.19,38.67,-0.79,-2.92,-1.21,-1.00,0.00,-32.36,-6.59
