"frame","MMGBSA dG Bind","MMGBSA dG Bind Coulomb","MMGBSA dG Bind Covalent","MMGBSA dG Bind Hbond","MMGBSA dG Bind Lipo","MMGBSA dG Bind Packing","MMGBSA dG Bind SelfCont","MMGBSA dG Bind Solv GB","MMGBSA dG Bind vdW"
3907,-53.94,69.46,13.61,-2.84,-18.46,-0.93,0.00,-40.62,-74.15
3908,-51.08,77.07,-1.34,-0.57,-17.31,-1.46,0.00,-45.24,-62.23
3909,-49.61,60.24,8.94,-1.84,-16.04,-0.95,0.00,-37.04,-62.92
3910,-56.50,80.98,-5.58,-1.04,-15.05,-1.77,0.00,-56.07,-57.97
3911,-47.29,59.71,-9.85,0.01,-17.22,0.79,0.00,-28.53,-52.19
3912,-39.15,57.15,-5.29,0.34,-16.76,0.97,0.00,-26.33,-49.23
3913,-43.18,32.31,-1.43,-0.52,-16.20,1.69,0.00,-13.05,-45.97
3914,-52.51,38.09,-3.27,-0.36,-16.43,-0.44,0.00,-20.32,-49.77
3915,-51.07,34.93,-1.18,-1.11,-16.53,0.18,0.00,-21.74,-45.62
3916,-45.83,49.08,-5.06,0.32,-16.98,1.79,0.00,-27.66,-47.31
3917,-46.99,38.27,-1.97,-0.25,-16.60,0.77,0.00,-22.19,-45.01
3918,-47.27,62.67,-7.91,0.80,-17.45,1.30,0.00,-26.29,-60.39
3919,-57.76,64.50,6.29,-1.28,-18.47,-0.47,0.00,-36.75,-71.57
3920,-39.70,73.11,0.86,0.42,-17.54,0.50,0.00,-38.40,-58.65
3921,-52.87,55.97,6.47,-0.73,-18.01,0.55,0.00,-31.72,-65.39
3922,-46.45,63.55,-5.95,-0.95,-16.33,-0.46,0.00,-22.44,-63.87
3923,-44.34,80.36,-7.87,-0.20,-14.39,-0.08,0.00,-46.35,-55.81
3924,-52.62,55.11,5.50,-1.66,-18.00,-1.19,0.00,-34.44,-57.94
3925,-43.26,59.31,-0.43,-0.37,-16.66,-0.55,0.00,-31.06,-53.52
3926,-55.41,40.29,8.82,-1.49,-16.31,-0.89,0.00,-34.05,-51.78
3927,-68.92,33.36,0.82,-2.21,-18.27,-0.27,0.00,-14.98,-67.37
3928,-66.57,47.56,4.74,-3.98,-16.99,-2.06,0.00,-28.49,-67.36
3929,-63.31,46.15,-2.66,-2.14,-15.89,-1.90,0.00,-22.60,-64.28
3930,-61.72,46.27,7.99,-2.68,-18.64,-1.01,0.00,-21.73,-71.91
3931,-66.77,25.19,10.44,-2.66,-19.28,-0.24,0.00,-6.08,-74.15
3932,-65.68,47.15,9.27,-3.14,-20.23,-0.16,0.00,-22.04,-76.52
3933,-51.76,60.17,0.63,-0.46,-18.24,0.63,0.00,-38.39,-56.11
3934,-64.33,44.10,5.93,-0.30,-19.88,1.11,0.00,-23.19,-72.11
3935,-71.14,50.51,5.97,-1.51,-20.95,-0.75,0.00,-28.74,-75.68
3936,-72.41,45.02,8.59,-3.19,-20.22,-0.05,0.00,-24.57,-77.99
3937,-65.43,47.52,-1.04,-0.36,-21.70,-0.11,0.00,-18.67,-71.08
3938,-71.30,45.26,8.80,-4.20,-19.29,-1.42,0.00,-19.44,-81.00
3939,-67.22,36.80,1.33,-2.13,-19.00,-0.14,0.00,-12.42,-71.66
3940,-66.99,66.51,6.44,-2.79,-19.73,-0.85,0.00,-36.88,-79.69
3941,-69.86,44.05,5.24,-4.19,-18.87,-0.40,0.00,-23.04,-72.65
3942,-50.30,45.56,5.73,-1.36,-14.73,-1.11,0.00,-34.22,-50.17
3943,-49.20,45.72,1.32,-0.60,-16.85,0.07,0.00,-34.16,-44.70
3944,-54.91,45.53,0.04,-0.75,-18.53,1.05,0.00,-21.25,-61.01
3945,-42.30,47.31,5.85,-1.73,-14.17,-0.46,0.00,-31.63,-47.46
3946,-47.10,60.83,5.49,-1.50,-17.74,0.77,0.00,-33.98,-60.97
3947,-54.47,38.46,-1.31,-1.79,-15.95,-1.85,0.00,-33.43,-38.60
3948,-51.18,39.46,0.28,-1.66,-13.53,-0.48,0.00,-25.59,-49.66
3949,-35.06,68.56,3.65,-0.77,-16.70,0.44,0.00,-27.33,-62.92
3950,-44.15,73.34,1.45,-1.00,-15.99,-0.49,0.00,-38.19,-63.27
3951,-49.82,58.37,-1.57,-1.60,-11.88,0.79,0.00,-38.97,-54.96
3952,-59.84,53.54,11.49,-2.43,-18.70,-0.08,0.00,-28.75,-74.91
3953,-65.55,40.28,13.51,-4.03,-18.63,-0.65,0.00,-18.69,-77.34
3954,-65.94,36.51,5.81,-3.67,-16.87,-0.17,0.00,-16.81,-70.74
3955,-69.76,55.94,5.82,-3.86,-18.82,-2.92,0.00,-29.07,-76.85
3956,-64.18,32.95,10.17,-4.54,-17.06,-1.02,0.00,-8.84,-75.84
3957,-65.40,56.72,11.78,-1.75,-20.73,-3.20,0.00,-32.26,-75.95
3958,-62.59,48.20,4.65,-1.48,-19.39,-1.60,0.00,-25.04,-67.95
3959,-65.69,61.14,3.13,-0.50,-20.19,-2.73,0.00,-31.46,-75.06
3960,-55.49,45.44,8.69,-3.84,-16.83,-0.61,0.00,-22.74,-65.60
3961,-61.42,44.86,7.93,-2.01,-20.44,-1.32,0.00,-13.90,-76.54
3962,-59.93,39.58,8.20,-1.34,-20.43,0.46,0.00,-13.57,-72.82
3963,-47.21,66.83,10.85,-1.61,-16.47,-0.10,0.00,-42.94,-63.77
3964,-62.91,44.42,11.29,-3.25,-18.11,-1.41,0.00,-20.78,-75.08
3965,-61.41,40.33,9.23,-3.51,-17.75,-1.02,0.00,-22.31,-66.37
3966,-58.42,42.37,3.94,-0.40,-20.73,1.20,0.00,-15.51,-69.30
3967,-53.88,34.99,5.35,-1.97,-16.42,1.75,0.00,-14.85,-62.74
3968,-50.63,27.96,2.72,-1.35,-15.50,0.67,0.00,-3.89,-61.25
3969,-53.66,53.89,9.91,-2.94,-15.82,-0.59,0.00,-34.07,-64.03
3970,-67.44,54.66,7.89,-3.56,-18.09,-0.98,0.00,-38.62,-68.75
3971,-61.73,48.16,6.71,-1.72,-19.31,-0.89,0.00,-29.69,-64.99
3972,-44.34,38.91,1.39,-0.63,-14.21,-0.91,0.00,-24.50,-44.38
3973,-62.94,48.28,13.84,-3.60,-18.81,-0.42,0.00,-35.91,-66.31
3974,-41.83,39.94,-1.64,-0.20,-13.60,-0.17,0.00,-25.00,-41.17
3975,-46.61,5.38,5.31,-0.87,-13.87,-0.05,0.00,-4.75,-37.75
3976,-47.15,27.69,1.21,0.05,-15.53,0.31,0.00,-15.75,-45.12
3977,-42.36,56.40,1.03,0.32,-15.82,0.17,0.00,-39.52,-44.94
3978,-45.79,56.20,-2.16,-0.33,-15.94,1.65,0.00,-28.96,-56.24
3979,-35.90,64.50,3.04,0.19,-15.37,0.50,0.00,-38.67,-50.07
3980,-54.37,64.04,1.89,-0.06,-16.54,-1.65,0.00,-47.80,-54.26
3981,-44.20,66.84,9.01,-1.19,-16.81,-2.27,0.00,-52.88,-46.89
3982,-37.55,56.35,3.30,-0.35,-16.68,-0.65,0.00,-35.14,-44.38
3983,-47.88,64.74,-2.67,-0.41,-15.21,-1.17,0.00,-45.81,-47.35
3984,-57.16,45.64,1.75,-1.01,-16.07,-2.21,0.00,-43.31,-41.96
3985,-42.51,51.29,-0.68,-0.92,-14.88,0.68,0.00,-26.32,-51.69
