"MMGBSA dG Bind","MMGBSA dG Bind Coulomb","MMGBSA dG Bind Covalent","MMGBSA dG Bind Hbond","MMGBSA dG Bind Lipo","MMGBSA dG Bind Packing","MMGBSA dG Bind SelfCont","MMGBSA dG Bind Solv GB","MMGBSA dG Bind vdW","frame"
-39.78,52.13,0.15,-1.22,-5.58,-2.43,-0.00,-45.00,-37.84,3936
-50.48,43.00,-5.50,-3.39,-7.46,-2.43,-0.00,-34.92,-39.77,3937
-32.67,73.87,-1.69,0.09,-9.76,-1.98,-0.00,-49.79,-43.41,3938
-39.84,57.58,0.04,-1.21,-6.27,-2.98,-0.00,-48.67,-38.31,3939
-45.85,48.37,1.69,-3.08,-7.62,-2.40,-0.00,-37.39,-45.43,3940
-39.94,57.75,0.12,-1.17,-6.36,-2.98,-0.00,-48.85,-38.45,3941
-60.15,35.09,1.35,-4.29,-10.19,-2.91,-0.00,-33.25,-45.94,3942
-57.53,48.63,-4.93,-4.13,-7.86,-2.41,-0.00,-38.16,-48.66,3943
-50.64,39.25,8.24,-4.18,-8.96,-2.92,-0.00,-33.78,-48.29,3944
-60.36,39.56,3.63,-3.69,-12.87,-2.93,-0.00,-31.97,-52.09,3945
-53.20,24.40,7.02,-3.56,-7.86,-2.94,-0.00,-25.36,-44.89,3946
-59.41,40.35,-0.12,-2.00,-12.68,-2.62,-0.00,-41.35,-40.98,3947
-40.96,52.14,1.00,-1.49,-6.40,-2.96,-0.00,-45.84,-37.41,3948
-34.19,49.61,0.92,-1.79,-4.82,-2.91,-0.00,-43.27,-31.92,3949
-32.46,53.73,3.96,-0.44,-6.64,-2.63,-0.00,-42.48,-37.96,3950
-31.83,64.03,1.63,-1.00,-7.26,-1.85,-0.00,-48.59,-38.78,3951
-44.04,56.39,-3.78,-1.82,-6.68,-2.59,-0.00,-46.00,-39.55,3952
-37.81,71.33,-5.55,0.29,-5.80,-3.02,-0.00,-60.06,-35.01,3953
-44.44,57.17,5.90,-3.67,-10.46,-2.44,-0.00,-34.86,-56.07,3954
