"MMGBSA dG Bind","MMGBSA dG Bind Coulomb","MMGBSA dG Bind Covalent","MMGBSA dG Bind Hbond","MMGBSA dG Bind Lipo","MMGBSA dG Bind Packing","MMGBSA dG Bind SelfCont","MMGBSA dG Bind Solv GB","MMGBSA dG Bind vdW","frame"
5317.56,-12.04,3344.43,-3.20,-25.00,-2.39,-0.01,39.52,1976.24,3954
2666.54,-17.17,1846.52,-1.44,-16.37,-1.58,-0.01,49.99,806.60,3955
4679.42,9.15,2937.66,-3.26,-23.33,-2.92,0.00,27.17,1734.95,3956
2673.03,-23.74,1855.79,-3.11,-18.01,-1.86,-0.00,53.87,810.10,3957
-38.17,-15.37,19.04,-0.91,-23.93,-7.01,-0.02,40.20,-50.17,3958
-55.07,-21.85,6.18,-3.55,-24.89,-1.28,-0.01,36.36,-46.03,3959
-87.30,-4.80,6.22,-2.63,-32.15,-3.40,0.01,8.89,-59.43,3960
-66.61,-2.18,8.03,-2.27,-29.22,-1.59,0.01,21.19,-60.58,3961
-71.74,-11.34,9.12,-2.93,-29.83,-0.99,0.01,21.74,-57.53,3962
-76.37,-27.85,15.40,-3.25,-29.17,-0.73,0.00,27.32,-58.10,3963
-83.03,-20.50,7.72,-3.44,-31.18,-1.01,0.01,31.37,-66.01,3964
-68.88,-7.40,15.92,-2.99,-31.88,-3.63,-0.01,27.63,-66.53,3965
-86.22,-6.67,10.96,-3.38,-31.92,-3.78,-0.00,14.22,-65.65,3966
-89.67,-18.20,10.16,-4.10,-32.06,-3.48,0.00,24.51,-66.52,3967
-90.76,-15.87,10.47,-3.95,-32.68,-3.59,0.01,21.32,-66.47,3968
-84.66,-18.25,8.78,-3.54,-31.33,-2.93,-0.00,25.12,-62.50,3969
-87.93,-29.80,12.43,-4.44,-31.97,-3.21,-0.00,34.69,-65.62,3970
-83.73,-16.50,6.98,-3.16,-29.90,-1.72,0.02,21.69,-61.14,3971
-78.90,-14.48,12.26,-2.81,-30.09,-2.88,0.01,22.51,-63.43,3972
-80.00,-28.64,16.63,-2.22,-31.69,-3.31,0.00,33.23,-63.99,3973
-82.31,-23.26,13.32,-4.15,-31.56,-1.93,0.01,31.18,-65.93,3974
-89.65,-39.16,13.00,-4.66,-32.13,-3.10,0.01,45.17,-68.79,3975
-87.17,-32.22,15.64,-6.63,-30.58,-2.35,-0.00,37.28,-68.31,3976
-66.47,-23.66,12.74,-3.60,-27.89,-3.86,-0.01,40.51,-60.68,3977
-87.83,-29.79,9.15,-3.32,-31.61,-1.66,0.05,33.87,-64.51,3978
-77.49,-13.09,9.98,-2.41,-32.04,-1.76,0.01,22.63,-60.80,3979
-88.40,-40.67,16.40,-4.53,-32.62,-5.08,0.01,48.33,-70.23,3980
-92.47,-25.23,11.89,-4.08,-32.58,-3.10,0.00,26.59,-65.96,3981
-95.49,-27.55,7.86,-4.03,-32.32,-1.82,-0.00,30.21,-67.84,3982
-88.16,-27.99,9.48,-3.77,-31.88,-1.80,-0.01,34.82,-67.02,3983
-73.42,-6.91,9.61,-1.96,-31.93,-1.06,0.01,28.03,-69.21,3984
-84.94,-21.42,7.13,-3.34,-30.23,-1.41,0.02,28.53,-64.22,3985
-86.00,-22.72,5.93,-3.17,-30.43,-2.76,-0.00,30.96,-63.81,3986
-90.88,-19.39,9.71,-3.58,-32.60,-1.94,-0.00,25.39,-68.48,3987
-77.47,-21.53,15.46,-3.47,-29.41,-5.16,-0.01,33.45,-66.81,3988
-88.58,-23.29,4.98,-3.72,-29.87,-2.31,-0.01,29.36,-63.73,3989
-88.09,-19.54,9.72,-3.49,-32.27,-1.72,0.01,24.24,-65.04,3990
